is_rumor,thread,in_reply_tweet,tweet_id,is_source_tweet,in_reply_user,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,sentimentscore,rumor_spreaders_intensity_score
126,6.3535E+19,6.37946E+19,6.37955E+19,0,2417926605,2,1,1,128,1256465,0,8884,20448,5.39806247,0.000100281
87,4.35244E+19,4.36944E+19,4.37007E+19,0,41066135385,2,0,2,91,730365,0,30537,20706,1.156507937,0.000119119
72,3.92358E+19,3.86843E+19,3.92374E+19,1,29682615382,6,179,132,172,3851436,0,724419,704576,-1.50750248,1.86943E-05
68,5.82667E+19,6.6843E+18,5.82667E+19,94,64831344,87,87479,29974,6,2397614,106,1357679461,318,0.301082251,2.83615E-05
67,5.64031E+19,5.48897E+18,5.64032E+19,90,646430560,117,19300,4742,5,10691869,103,85620210,47149,5.902691198,6.26644E-06
52,2.6015E+19,2.60157E+19,2.60163E+19,0,21838237232,0,7,11,219,991960,0,89336,103584,-0.070899471,5.24215E-05
51,2.81925E+19,2.81997E+19,2.81998E+19,0,26338651025,0,3,0,79,71161,0,2099,12452,-2.065223214,0.000716685
51,2.82027E+19,2.82035E+19,2.82036E+19,0,6746085389,0,40,77,120,7179318,0,1306208,1389948,-1.45327381,7.10374E-06
47,4.92521E+19,0,4.92521E+19,89,0,82,23381,7043,3,10963433,89,159474878,1523,-1.298643579,4.28698E-06
45,2.25163E+19,2.2524E+19,2.25241E+19,0,13837359314,0,0,10,108,3817305,0,159255,33615,0.86461039,1.17884E-05
44,2.96681E+19,2.967E+19,2.96706E+19,0,48394540032,2,19,26,191,2382270,0,107653,113559,0.174916295,1.84698E-05
42,3.14763E+19,5.24953E+17,3.14764E+19,57,292777349,7,13552,3934,7,1252193,0,11828812,146956,3.14291847,3.35412E-05
42,2.10152E+19,2.10177E+19,2.10178E+19,0,11947017926,0,0,4,82,1421743,0,17430,18648,-0.649007937,2.95412E-05
42,4.8155E+19,4.81563E+19,4.81565E+19,0,31968684949,122,24,22,133,880219,0,5990,25529,-5.266937229,4.77154E-05
39,3.26479E+19,0,3.26479E+19,60,0,25,40768,17124,3,2200751,60,1307517396,6709,1.770244339,1.77212E-05
37,2.32426E+19,0,2.32426E+19,44,6433472,66,19252,3706,5,1141817,44,16322150,11626,0.222960373,3.24045E-05
36,2.9611E+19,0,2.9611E+19,54,0,1,20644,4788,0,5227122,54,243324018,397148,2.164583333,6.88716E-06
36,1.90992E+19,1.91003E+19,1.91004E+19,0,59632533411,0,2,8,58,1476003,0,67215,15098,3.477619048,2.43902E-05
36,1.80106E+19,1.8012E+19,1.8012E+19,0,76453613454,0,0,25,72,406800,0,46800,47988,1.592460317,8.84956E-05
35,1.75126E+19,1.75172E+19,1.75172E+19,0,6644043125,0,0,0,79,714455,0,43960,34160,1.923346561,4.89884E-05
34,1.78511E+19,1.78515E+19,1.78515E+19,0,33555853009,0,1,1,68,24514,0,9404,7412,1.326785714,0.001386963
34,2.09764E+19,2.09765E+19,2.09765E+19,0,25386886136,1,24,33,92,83011,0,23216,13402,3.453247863,0.000409584
33,2.79887E+19,2.79889E+19,2.7989E+19,0,45580982400,1,8,9,107,1469827,0,20025,6786,3.121780303,2.24516E-05
33,4.03651E+19,4.03666E+19,4.03671E+19,0,89851628526,0,17,59,216,886059,0,28359,46369,-1.112619048,3.72436E-05
33,1.65102E+19,1.65108E+19,1.65109E+19,0,13035009924,0,0,5,130,215589,0,5247,26037,-1.506613757,0.000153069
32,2.09318E+19,0,2.09318E+19,38,0,41,10080,2319,0,1032692,38,52161236,228,-0.700582751,0.000030987
32,2.91723E+19,0,2.91723E+19,53,0,7,10431,3827,25,5348386,54,202400541,46465,2.067813853,5.98311E-06
31,2.10106E+19,2.10119E+19,2.1012E+19,0,15506435868,1,18,9,71,72652,0,7070,17508,1.792559524,0.000426692
30,2.62033E+19,0,2.62033E+19,48,0,46,11278,4589,2,9061199,48,223211129,18356,2.064568765,3.31082E-06
30,2.66219E+19,2.28548E+18,2.66219E+19,41,57208003,30,9400,3290,5,2178683,49,95916794,141678,1.81540404,1.37698E-05
30,2.62309E+19,2.62309E+19,2.62313E+19,0,7487272565,122,21,10,54,548438,0,38182,71692,0.628706016,5.47008E-05
29,1.60314E+19,1.60337E+19,1.60337E+19,0,38652064222,0,1,7,37,10285,0,487,3116,2.651269841,0.00281964
29,1.45089E+19,1.45106E+19,1.45108E+19,0,22983450165,0,0,0,103,76270,0,1189,4350,0.208333333,0.000380228
28,2.18013E+19,0,2.18013E+19,40,0,1,9471,2041,49,3545119,40,285581399,20270,-0.05218254,7.89818E-06
